Longitude,Latitude
60.191515,21.909869
60.191459,21.909818
60.191397,21.909852
60.191216,21.910175
60.191132,21.910412
60.191111,21.910568
60.191136,21.910803
60.191305,21.911393
60.191322,21.911498
60.191310,21.911977
60.191286,21.912825
60.191262,21.913636
60.191236,21.913766
60.191057,21.914266
60.191026,21.914417
60.191032,21.914568
60.191078,21.914682
60.191151,21.914737
60.191226,21.914749
60.191472,21.914736
60.191557,21.914746
60.191636,21.914766
60.191711,21.914810
60.191781,21.914850
60.191852,21.914883
60.191931,21.914937
60.192094,21.915006
60.192249,21.915052
60.192320,21.915055
60.192401,21.915064
60.192487,21.915056
60.192573,21.915059
60.192660,21.915054
60.192834,21.915031
60.192952,21.915003
60.193276,21.914951
60.193403,21.914907
60.193534,21.914838
60.193619,21.914781
60.193861,21.914559
60.194129,21.914285
60.194316,21.914139
60.194462,21.914052
60.194555,21.913976
60.194601,21.913930
60.194641,21.913875
60.194712,21.913737
60.194743,21.913657
60.194767,21.913570
60.194788,21.913380
60.194769,21.912980
60.194579,21.912197
60.194319,21.911487
60.194306,21.911436
60.191621,21.910024
60.191471,21.909905
60.191492,21.909857
60.191387,21.910175
60.191284,21.910562
60.191209,21.910661
60.191164,21.910947
60.191478,21.911551
60.191432,21.911639
60.19142,21.912003
60.191466,21.912961
60.191444,21.913786
60.191364,21.913856
60.191226,21.9144
60.191085,21.914512
60.191054,21.914708
60.191187,21.914717
60.191292,21.914771
60.191264,21.914828
60.191642,21.914757
60.191715,21.914905
60.19176,21.914922
60.191869,21.914864
60.191955,21.914953
60.191926,21.915076
60.191978,21.915001
60.192215,21.915072
60.192372,21.915211
60.192376,21.915074
60.192445,21.915182
60.192635,21.91521
60.192586,21.915147
60.192805,21.915181
60.193004,21.915033
60.192988,21.915018
60.193471,21.915076
60.193581,21.914993
60.193549,21.914924
60.193672,21.914851
60.193883,21.914743
60.194182,21.914378
60.194389,21.914325
60.194516,21.914176
60.194693,21.913989
60.194608,21.913992
60.194762,21.91403
60.194774,21.91381
60.194857,21.91375
60.194832,21.913648
60.194841,21.913511
60.194892,21.913089
60.194641,21.912247
60.194402,21.911635
60.194321,21.911469
60.191467,21.909718
60.191309,21.909704
60.191348,21.909831
60.191042,21.910133
60.191078,21.910279
60.191109,21.910471
60.190942,21.91063
60.191183,21.911225
60.191301,21.911475
60.191143,21.911928
60.191206,21.912644
60.191189,21.913459
60.191135,21.913748
60.190951,21.91411
60.190997,21.914383
60.19101,21.914513
60.191009,21.914674
60.191013,21.914557
60.191194,21.914632
60.19142,21.914627
60.191361,21.914622
60.191542,21.914572
60.191519,21.914689
60.191595,21.914682
60.191762,21.914829
60.1919,21.914785
60.191974,21.914889
60.192139,21.915011
60.192319,21.914888
60.192399,21.915015
60.192432,21.914927
60.192482,21.91497
60.192551,21.915023
60.192641,21.914866
60.192827,21.914888
60.193267,21.914755
60.193254,21.914847
60.193412,21.914692
60.193495,21.914767
60.19377,21.914533
60.194025,21.914171
60.194171,21.914112
60.194396,21.913982
60.194539,21.913891
60.194582,21.913804
60.194596,21.913837
60.194542,21.913572
60.194636,21.913465
60.194756,21.913542
60.194735,21.913267
60.194588,21.912879
60.194505,21.9121
60.194289,21.911475
60.194222,21.911425
60.1917,21.909974
60.191555,21.909942
60.191576,21.90991
60.191395,21.910177
60.191262,21.910445
60.191283,21.910575
60.191335,21.910865
60.191483,21.911445
60.191432,21.911525
60.191464,21.912142
60.191356,21.91299
60.191443,21.913646
60.191243,21.913812
60.191225,21.914297
60.191208,21.914562
60.19109,21.914676
60.191121,21.9147
60.191166,21.914828
60.19126,21.914909
60.191564,21.914878
60.19165,21.914747
60.19179,21.914853
60.191812,21.91486
60.19198,21.914993
60.19189,21.915083
60.191945,21.914938
60.192132,21.915149
60.192411,21.915227
60.192373,21.915237
60.192495,21.915243
60.192539,21.915252
60.192602,21.915172
60.192835,21.915186
60.192851,21.915085
60.193052,21.91519
60.193401,21.915103
60.193411,21.915013
60.193552,21.914969
60.193802,21.914897
60.194033,21.914682
60.194265,21.914479
60.194381,21.914206
60.194502,21.914223
60.194712,21.914131
60.194633,21.914058
60.194692,21.913884
60.194898,21.913902
60.194867,21.913695
60.194943,21.913657
60.194964,21.913578
60.194884,21.91311
60.194579,21.912305
60.194452,21.911593
60.194433,21.9115
60.191327,21.909717
60.191372,21.909719
60.191299,21.909834
60.191151,21.910024
60.190996,21.910243
60.191044,21.910565
60.191026,21.910702
60.191228,21.911301
60.191304,21.911477
60.191172,21.911957
60.191264,21.912802
60.191208,21.913503
60.191078,21.913638
60.191031,21.914196
60.191009,21.914403
60.190956,21.91437
60.191012,21.914487
60.191001,21.914636
60.191137,21.914623
60.191295,21.914736
60.191489,21.91457
60.191533,21.914597
60.191517,21.914653
60.191779,21.91475
60.191738,21.914826
60.191804,21.914869
60.191973,21.914886
60.192157,21.914977
60.192203,21.914933
60.192312,21.914893
60.192433,21.915013
60.192431,21.914894
60.192589,21.914943
60.192829,21.91487
60.192858,21.914912
60.193187,21.914795
60.193253,21.914757
60.193376,21.914742
60.193518,21.914748
60.193693,21.914471
60.194019,21.914176
60.194164,21.913967
60.194351,21.91403
60.194437,21.913876
60.194517,21.913802
60.194625,21.91379
60.194616,21.913617
60.194572,21.913561
60.194678,21.913508
60.194782,21.91326
60.194657,21.912973
60.194396,21.912181
60.194123,21.911316
60.194229,21.911324
60.191711,21.90994
60.191592,21.909877
60.191404,21.909932
60.191357,21.910276
60.191265,21.910556
60.191115,21.910755
60.191177,21.910831
60.191457,21.911405
60.191399,21.911506
60.19147,21.912092
60.191425,21.912918
60.191268,21.913806
60.191355,21.913928
60.191241,21.914407
60.191172,21.914542
60.191155,21.914713
60.191224,21.914812
60.191299,21.914817
60.191233,21.914889
